customer_id,age,gender,region,tenure_months,credit_score,annual_income,num_products,products_held,has_current_account,has_savings_account,has_credit_card,has_mortgage,avg_transaction_value,transaction_frequency,complaints_last_year,days_since_last_login,app_usage_hours,churned,churn_reason
CUST10000,69,Female,East Midlands,189,626,32303.521289692086,1,Savings Account,0,1,0,0,154.01140767849384,18,0,26.91712844793494,8.353049992374345,0,N/A
CUST10001,77,Male,North West,175,656,17811.968658952876,3,"Current Account,Insurance,Mortgage",1,0,0,1,137.21118607320133,11,0,29.993702809758688,2.7146787132822436,0,N/A
CUST10002,21,Male,South West,106,723,39564.36587908935,1,Credit Card,0,0,1,0,50.54122505427224,22,0,11.612865854856514,2.341516323278893,0,N/A
CUST10003,52,Female,South West,234,711,50571.43938101865,4,"Credit Card,Savings Account,Insurance,Current Account",1,1,1,0,149.8302141279965,11,0,22.895369508571587,3.9385494319568943,0,N/A
CUST10004,31,Female,South West,15,750,37930.98237833429,2,"Savings Account,Personal Loan",0,1,0,0,98.22635269316828,26,0,63.242767352962645,2.064079336263157,0,N/A
CUST10005,23,Male,London,84,599,72108.77824081924,4,"Investment,Current Account,Business Account,Insurance",1,0,0,0,142.7799898341681,12,1,7.139528183633013,1.2075754914034196,0,N/A
CUST10006,76,Male,North West,233,850,36035.44549032642,2,"Credit Card,Savings Account",0,1,1,0,122.36797965126391,20,0,19.809841419651864,2.897320552879181,0,N/A
CUST10007,70,Female,Northern Ireland,160,641,64306.205058524785,2,"Current Account,Personal Loan",1,0,0,0,212.85545223542704,13,0,33.90338834557966,4.2580168691320965,0,N/A
CUST10008,53,Male,North West,147,530,21350.87802570582,3,"Credit Card,Insurance,Investment",0,0,1,0,176.6911879171825,25,0,60.72380794301447,7.382405399260632,0,N/A
CUST10009,19,Female,Wales,197,526,33742.967477109785,2,"Investment,Savings Account",0,1,0,0,143.31703990393007,12,0,8.52588429366823,7.575363486252654,0,N/A
CUST10010,35,Male,South West,54,828,20017.221387402074,3,"Business Account,Personal Loan,Mortgage",0,0,0,1,199.9560487278086,15,1,18.800886111745147,1.195433195962521,0,N/A
CUST10011,25,Female,Yorkshire,30,722,55551.194115309474,2,"Current Account,Investment",1,0,0,0,167.20134428059166,11,1,11.5578723388237,3.778734627404364,0,N/A
CUST10012,80,Male,London,161,724,15000.0,2,"Mortgage,Insurance",0,0,0,1,100.80365519298533,18,0,93.21139495692634,1.9710541187291954,0,N/A
CUST10013,65,Female,South East,26,547,50432.88218263907,1,Investment,0,0,0,0,31.14467707407675,18,0,33.7723894990841,1.4439720160742002,0,N/A
CUST10014,42,Male,Northern Ireland,150,499,29543.504754313493,1,Insurance,0,0,0,0,191.99744067701485,17,1,22.504392373129857,3.0267850515285915,0,N/A
CUST10015,33,Female,North West,158,693,26084.766596619924,3,"Personal Loan,Savings Account,Investment",0,1,0,0,227.0353350064556,18,0,50.352432633527776,3.218606303780851,0,N/A
CUST10016,78,Female,South West,22,629,16988.89232815489,2,"Insurance,Current Account",1,0,0,0,83.73199460855852,4,0,9.3462012038513,1.6578464935783033,0,N/A
CUST10017,51,Male,London,147,850,37876.33389358366,3,"Savings Account,Credit Card,Current Account",1,1,1,0,188.42676877293997,18,0,9.826013844478146,4.663452701208616,0,N/A
CUST10018,84,Female,West Midlands,43,601,40287.6049297026,2,"Insurance,Investment",0,0,0,0,76.17829379740776,19,0,40.539916119879564,7.554249805646932,0,N/A
CUST10019,66,Female,London,231,704,32823.620545627,4,"Insurance,Personal Loan,Mortgage,Current Account",1,0,0,1,343.6962730929833,15,0,5.106874475128741,2.9030192942408357,0,N/A
CUST10020,45,Female,Wales,83,568,103382.77466263788,2,"Business Account,Personal Loan",0,0,0,0,281.7261527630386,10,1,27.71472905736577,1.37488821368255,0,N/A
CUST10021,34,Male,London,141,602,40783.17788698028,1,Savings Account,0,1,0,0,273.39294125040885,13,0,7.719647806078441,2.8080320756103436,0,N/A
CUST10022,75,Female,East Midlands,127,734,64002.089646448054,2,"Investment,Current Account",1,0,0,0,79.00388354399516,19,0,74.05053845758964,0.20267798201929685,0,N/A
CUST10023,53,Female,Wales,146,795,58667.16109325496,3,"Personal Loan,Investment,Insurance",0,0,0,0,280.9759362619328,8,0,6.257911459237757,13.206141990562553,0,N/A
CUST10024,75,Male,South East,101,617,15834.419353057907,1,Insurance,0,0,0,0,72.34973149763994,9,2,20.008080391827455,0.8415702042552284,0,N/A
CUST10025,22,Male,South East,65,478,71463.07681264551,5,"Credit Card,Insurance,Current Account,Investment,Savings Account",1,1,1,0,153.63268643368653,15,1,168.44891195636166,5.132533165484915,0,N/A
CUST10026,34,Male,London,1,562,25964.566080342764,4,"Personal Loan,Current Account,Savings Account,Investment",1,1,0,0,100.78312850370094,4,0,4.584100428641894,11.05704885667218,0,N/A
CUST10027,55,Female,West Midlands,79,737,41175.45008902003,3,"Investment,Mortgage,Credit Card",0,0,1,1,86.00853766616054,25,2,61.233255260841574,4.593730091075375,0,N/A
CUST10028,40,Male,London,118,601,20939.11139125615,2,"Insurance,Savings Account",0,1,0,0,178.41394377127747,11,0,9.068165500281504,2.6788851925027135,0,N/A
CUST10029,29,Male,South East,78,570,34510.71877030861,3,"Insurance,Mortgage,Savings Account",0,1,0,1,129.12415788706667,26,1,21.190179712530192,2.6381680475919445,0,N/A
CUST10030,19,Female,London,56,527,48449.55737294648,3,"Personal Loan,Insurance,Investment",0,0,0,0,157.6234617509235,6,0,8.215707774913014,3.592075957555795,0,N/A
CUST10031,61,Male,South East,25,645,71079.1560569077,3,"Savings Account,Personal Loan,Insurance",0,1,0,0,36.32460949073957,20,0,10.729693334586244,6.910509532277635,0,N/A
CUST10032,50,Male,London,70,621,65801.6704537387,1,Mortgage,0,0,0,1,121.04283640215243,6,1,13.14515987484861,13.06096879656053,0,N/A
CUST10033,43,Male,East Midlands,70,642,24794.33358891822,3,"Credit Card,Savings Account,Business Account",0,1,1,0,19.032178969591623,9,0,6.3532950554135965,7.7104489370826546,0,N/A
CUST10034,27,Female,South East,130,481,55151.87686093927,3,"Investment,Mortgage,Insurance",0,0,0,1,44.42033913432373,10,1,14.502490447834845,4.738822957209797,0,N/A
CUST10035,39,Male,Yorkshire,11,658,53179.25445364306,4,"Credit Card,Insurance,Mortgage,Current Account",1,0,1,1,197.50458292825894,10,0,18.749531310619705,3.4104115681464804,0,N/A
CUST10036,40,Male,South West,145,780,51195.95967270346,1,Credit Card,0,0,1,0,7.757669912234282,12,0,11.156526311026187,6.0363784116136845,0,N/A
CUST10037,55,Female,East Midlands,155,774,30452.9345077153,3,"Current Account,Investment,Mortgage",1,0,0,1,88.17535424257511,16,0,25.524693794614496,2.9338448633180656,0,N/A
CUST10038,53,Female,South East,69,594,15000.0,3,"Investment,Mortgage,Current Account",1,0,0,1,333.0121261011089,6,0,3.3655236081299447,2.5085849484530796,0,N/A
CUST10039,58,Female,North West,46,780,37341.56977107161,3,"Credit Card,Personal Loan,Insurance",0,0,1,0,263.69474310800956,5,1,5.42680133921349,7.428118800316871,0,N/A
CUST10040,34,Female,London,179,657,36194.89163078089,3,"Insurance,Savings Account,Business Account",0,1,0,0,35.83878784676756,13,0,4.7824300410882445,3.3576887469621934,0,N/A
CUST10041,18,Male,South East,179,539,34288.93513377911,2,"Business Account,Credit Card",0,0,1,0,140.62028358154916,11,0,26.039409637205363,0.1308819995216772,0,N/A
CUST10042,18,Male,London,131,759,46952.78056246005,3,"Business Account,Savings Account,Mortgage",0,1,0,1,98.60948073797174,23,0,12.25523157901862,4.493561957711707,0,N/A
CUST10043,51,Female,Northern Ireland,32,636,15574.1366859381,1,Mortgage,0,0,0,1,56.50891914643776,6,1,17.36545610338064,2.8551067150509084,0,N/A
CUST10044,26,Male,South East,86,758,59036.510001496536,3,"Credit Card,Insurance,Personal Loan",0,0,1,0,122.02637676208901,16,0,23.71580172829508,8.836804355167958,0,N/A
CUST10045,58,Male,South West,153,765,28722.214878184463,1,Personal Loan,0,0,0,0,183.27688274999667,19,0,17.033218275244995,0.601856480613496,0,N/A
CUST10046,82,Male,South West,26,522,16949.47907226275,2,"Investment,Personal Loan",0,0,0,0,62.53388187990939,8,0,66.62011190857697,1.9649522608028502,0,N/A
CUST10047,79,Female,London,201,720,15000.0,2,"Investment,Mortgage",0,0,0,1,94.0123360917849,20,0,38.19647397142392,8.226474366341327,0,N/A
CUST10048,64,Male,Wales,83,590,69027.93225591796,3,"Credit Card,Savings Account,Personal Loan",0,1,1,0,204.28879674199032,20,1,30.454631263914578,0.5080335710707709,0,N/A
CUST10049,76,Female,North West,222,622,28775.364731418525,4,"Business Account,Current Account,Investment,Insurance",1,0,0,0,231.9836223944948,12,1,17.633266838308238,3.5921738323462233,0,N/A
CUST10050,50,Female,South West,126,606,51880.5788113899,3,"Mortgage,Insurance,Savings Account",0,1,0,1,129.60791118064196,12,0,25.38610138378877,2.8878655572950485,0,N/A
CUST10051,20,Male,South East,68,795,15000.0,3,"Investment,Personal Loan,Current Account",1,0,0,0,40.75228463784574,28,0,87.71832286103447,16.950701551357138,0,N/A
CUST10052,37,Female,London,237,583,26400.282976250855,2,"Investment,Credit Card",0,0,1,0,80.3132416814287,17,0,12.875192775020004,3.0739809057725354,0,N/A
CUST10053,49,Male,West Midlands,125,532,33978.082305777214,2,"Business Account,Personal Loan",0,0,0,0,268.7413368336358,11,1,25.2982500239724,1.8731884751237011,0,N/A
CUST10054,65,Female,London,60,747,28034.589063855066,4,"Personal Loan,Business Account,Current Account,Insurance",1,0,0,0,147.94431620271362,19,0,28.700816585380473,0.7992093117203508,0,N/A
CUST10055,76,Female,East Midlands,107,696,61903.83086948253,3,"Personal Loan,Investment,Insurance",0,0,0,0,275.83776508219,21,0,38.29007136558043,2.313892159406565,0,N/A
CUST10056,56,Male,London,155,699,22123.813585740252,2,"Insurance,Current Account",1,0,0,0,140.55438141901644,16,1,69.93242555535332,2.8855126850878348,0,N/A
CUST10057,27,Male,London,120,669,43632.2193957152,1,Personal Loan,0,0,0,0,80.68810826560556,10,0,1.02060020247963,1.0227528126363652,0,N/A
CUST10058,49,Male,West Midlands,22,430,32493.443541197357,4,"Investment,Savings Account,Credit Card,Current Account",1,1,1,0,43.58755340616275,20,0,16.477933244526284,3.4355694522796876,0,N/A
CUST10059,29,Female,North West,27,685,29452.672746942804,1,Personal Loan,0,0,0,0,83.91453822480739,15,0,6.813879718551649,3.666488064992322,0,N/A
CUST10060,26,Male,North West,63,515,16387.885900341713,3,"Mortgage,Personal Loan,Current Account",1,0,0,1,188.03658936275505,10,0,15.068563843102956,8.41996801431782,0,N/A
CUST10061,68,Male,London,121,540,36250.14754403145,3,"Personal Loan,Investment,Insurance",0,0,0,0,43.04271061085066,11,0,1.8393783420810146,2.8236248235835064,0,N/A
CUST10062,32,Male,London,49,757,73106.8770272448,1,Credit Card,0,0,1,0,237.60187117448172,3,2,36.59615742329248,6.642517812687312,0,N/A
CUST10063,58,Male,North West,210,847,86345.12504699647,3,"Mortgage,Business Account,Savings Account",0,1,0,1,260.66313847937096,15,1,1.8928702802332427,6.022393174536481,0,N/A
CUST10064,78,Male,London,97,450,62662.78759086637,3,"Current Account,Personal Loan,Mortgage",1,0,0,1,114.58190761703625,12,0,17.674594095183792,0.8854238172937614,0,N/A
CUST10065,51,Female,West Midlands,115,850,75983.4000383308,3,"Business Account,Current Account,Investment",1,0,0,0,311.89890809815444,7,0,46.53579535513316,6.17890057233044,0,N/A
CUST10066,19,Male,West Midlands,89,612,61298.12825743442,1,Insurance,0,0,0,0,98.53546630592393,17,0,7.385070869954404,0.5353419690280903,0,N/A
CUST10067,22,Male,South West,1,584,30505.855653154762,1,Personal Loan,0,0,0,0,94.14112519453725,12,0,16.825124812952676,3.3852840603816987,0,N/A
CUST10068,37,Male,West Midlands,35,630,39953.39286554601,3,"Credit Card,Current Account,Savings Account",1,1,1,0,56.85006854842684,11,0,78.31090562042453,8.289045204229135,0,N/A
CUST10069,62,Male,Scotland,124,360,29815.661152079287,3,"Savings Account,Current Account,Insurance",1,1,0,0,88.02471978348821,13,1,13.750252252230792,4.788373771675179,0,N/A
CUST10070,50,Female,Scotland,142,666,55248.27702678422,2,"Business Account,Investment",0,0,0,0,396.0348796724303,11,0,48.92066922031506,3.3770729037469223,0,N/A
CUST10071,21,Female,Yorkshire,82,599,31295.1448636761,4,"Savings Account,Investment,Personal Loan,Business Account",0,1,0,0,311.1185694583674,10,0,14.089340703773349,7.675982897194417,0,N/A
CUST10072,28,Female,West Midlands,74,434,15000.0,4,"Mortgage,Insurance,Credit Card,Personal Loan",0,0,1,1,69.84599430721745,19,0,7.226671610035739,3.701087798858833,0,N/A
CUST10073,60,Male,London,80,486,20063.377979964072,2,"Mortgage,Business Account",0,0,0,1,339.50846681718485,9,0,8.705899851833239,2.0230632840805516,0,N/A
CUST10074,24,Female,London,141,666,26884.795373145553,3,"Investment,Savings Account,Personal Loan",0,1,0,0,158.58962623809458,26,1,20.952033289293965,5.017595678638175,0,N/A
